# Total Energy along IRC
# X-Axis:  Intrinsic Reaction Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       -9.1902900000    -1042.4133405000
       -9.0051300000    -1042.4112659300
       -8.8206200000    -1042.4088216800
       -8.6371500000    -1042.4063272300
       -8.4555600000    -1042.4041375700
       -8.2744900000    -1042.4025763300
       -8.0945800000    -1042.4015979600
       -7.9125400000    -1042.4010272400
       -7.7304000000    -1042.4006575300
       -7.5470700000    -1042.4003951300
       -7.3640500000    -1042.4001850600
       -7.1812900000    -1042.4000075000
       -6.9989200000    -1042.3998493400
       -6.8158200000    -1042.3997039300
       -6.6319500000    -1042.3995653200
       -6.4474100000    -1042.3994306900
       -6.2625400000    -1042.3992990200
       -6.0776600000    -1042.3991696700
       -5.8928100000    -1042.3990423700
       -5.7084100000    -1042.3989168000
       -5.5243900000    -1042.3987930500
       -5.3404600000    -1042.3986718800
       -5.1560000000    -1042.3985519700
       -4.9711600000    -1042.3984329100
       -4.7859200000    -1042.3983142300
       -4.6006200000    -1042.3981962000
       -4.4153800000    -1042.3980790300
       -4.2302100000    -1042.3979636300
       -4.0450100000    -1042.3978499200
       -3.8598700000    -1042.3977363300
       -3.6755200000    -1042.3976225400
       -3.4936000000    -1042.3975080500
       -3.3127200000    -1042.3973987100
       -3.1300700000    -1042.3972923300
       -2.9458700000    -1042.3971831300
       -2.7613300000    -1042.3970717600
       -2.5763500000    -1042.3969596300
       -2.3915100000    -1042.3968459100
       -2.2062200000    -1042.3967307900
       -2.0211200000    -1042.3966120700
       -1.8357300000    -1042.3964899600
       -1.6507500000    -1042.3963617300
       -1.4656300000    -1042.3962282600
       -1.2850900000    -1042.3960819700
       -1.1107400000    -1042.3959251300
       -0.9258000000    -1042.3958302600
       -0.7408200000    -1042.3956801200
       -0.5558500000    -1042.3955341800
       -0.3708400000    -1042.3954082200
       -0.1855500000    -1042.3953220000
        0.0000000000    -1042.3952904900
        0.1855500000    -1042.3953181200
        0.3708300000    -1042.3953988100
        0.5559900000    -1042.3955236700
        0.7413500000    -1042.3956865000
        0.9267700000    -1042.3958805000
        1.1122400000    -1042.3960957400
        1.2975400000    -1042.3963369000
        1.4811600000    -1042.3966218300
        1.6647000000    -1042.3969341100
        1.8433800000    -1042.3970214900
        2.0173400000    -1042.3970090300
        2.1745600000    -1042.3978142100
        2.3571900000    -1042.3981789000
        2.5341600000    -1042.3986261300
        2.7170600000    -1042.3988756700
        2.8872600000    -1042.3991587600
        3.0585400000    -1042.3992318300
        3.2165600000    -1042.3998264500
        3.3987700000    -1042.4000263200
        3.5748500000    -1042.4002492000
        3.7555900000    -1042.4003572000
        3.9275000000    -1042.4004836500
        4.0989800000    -1042.4005252600
        4.2666100000    -1042.4006777000
        4.4391100000    -1042.4008212700
        4.6176800000    -1042.4009670100
        4.7994600000    -1042.4011118000
        4.9840800000    -1042.4012462900
        5.1690300000    -1042.4013729700
        5.3541700000    -1042.4014919000
        5.5393900000    -1042.4016046600
        5.7246800000    -1042.4017126300
        5.9100100000    -1042.4018168800
        6.0953800000    -1042.4019182800
        6.2807800000    -1042.4020174400
        6.4662000000    -1042.4021147900
        6.6516300000    -1042.4022106000
        6.8370800000    -1042.4023050200
        7.0225300000    -1042.4023981600
        7.2079800000    -1042.4024900500
        7.3934400000    -1042.4025807100
        7.5788900000    -1042.4026701700
        7.7643500000    -1042.4027584300
        7.9498200000    -1042.4028455000
        8.1352800000    -1042.4029313700
        8.3207400000    -1042.4030160700
        8.5062100000    -1042.4030995800
        8.6916700000    -1042.4031818900
        8.8771400000    -1042.4032629900
        9.0626100000    -1042.4033428500
